"dateStat","numInd","phenophaseStatus","countYes","percent"
2018-04-13,30,"yes",2,6.66666666666667
2018-04-16,30,"yes",19,63.3333333333333
2018-04-20,30,"yes",25,83.3333333333333
2018-04-23,30,"yes",26,86.6666666666667
2018-04-26,30,"yes",29,96.6666666666667
2018-04-30,30,"yes",30,100
2018-05-04,30,"yes",30,100
2018-05-08,30,"yes",30,100
2018-05-11,30,"yes",30,100
2018-05-14,30,"yes",30,100
2018-05-17,30,"yes",30,100
2018-05-21,30,"yes",30,100
2018-05-24,30,"yes",30,100
2018-05-30,30,"yes",30,100
2018-06-07,30,"yes",30,100
2018-06-13,30,"yes",30,100
2018-06-27,30,"yes",30,100
2018-07-10,30,"yes",30,100
2018-07-25,30,"yes",30,100
2018-08-07,30,"yes",30,100
2018-08-10,30,"yes",30,100
2018-08-16,30,"yes",30,100
2018-08-20,30,"yes",30,100
2018-08-23,30,"yes",30,100
2018-08-27,30,"yes",30,100
2018-08-31,30,"yes",30,100
2018-09-04,30,"yes",30,100
2018-09-07,30,"yes",30,100
2018-09-13,30,"yes",30,100
2018-09-19,30,"yes",30,100
2018-09-26,30,"yes",30,100
2018-10-02,30,"yes",30,100
2018-10-10,30,"yes",30,100
2018-10-15,30,"yes",30,100
2018-10-24,30,"yes",30,100
2018-10-30,30,"yes",30,100
2018-11-07,30,"yes",30,100
2018-11-14,30,"yes",19,63.3333333333333
2018-11-20,19,"yes",2,10.5263157894737
